httpCode,errorCode,errorSlug
400,000-000,
404,000-001,
400,000-002,
500,000-003,server_error
502,000-004,server_network_error
503,000-005,server_examination
503,000-007,server_emergency_examination
504,000-006,server_down
400,001-001,
400,001-002,
400,001-003,verification_code_incorrect
400,001-004,verification_code_used
400,001-005,verification_code_expired
403,001-006,account_inactive
400,001-007,unavailable_account
400,001-008,
402,001-009,card_delete_fail
400,001-010,card_already_registered
404,001-011,100-022
400,001-012,
406,001-013,card_register_fail
409,001-014,license_already_registered
,000-002,license_invalid
404,001-015,coupon_code_invalid
409,001-016,coupon_code_already_registered
400,001-017,coupon_code_expired
410,001-018,coupon_expired
409,001-019,billing_already_paid
404,001-020,verification_invalid
424,001-021,verification_fail
403,001-022,enroll_denied
406,001-023,license_not_mine
424,001-024,
428,001-025,
428,001-026,enroll_card_check_fail
406,001-027,
424,001-028,withdrawl_fail
429,001-029,login_sms_exceed_limit
400,001-030,reference_code_invalid
409,001-031,
406,001-032,card_register_fail_unpaid
406,001-033,promotion_login_denied
404,001-034,promotion_refund_fail
417,001-035,
404,001-036,
400,001-037,
,001-038,
,001-039,
,001-040,
,001-041,purchase_refund_fail
,001-042,
,001-043,
,001-044,
,001-045,
,001-046,
,001-047,
403,002-001,not_service_time
404,002-002,bike_sn_invalid
402,002-003,riding_start_fail
410,002-004,
428,002-005,
404,002-006,riding_history_error
404,002-007,billing_not_availble
428,002-008,card_register_required
424,002-009,payment_fail
410,002-010,billing_disconnected
410,002-011,billing_duplicated_request
412,002-012,not_riding
409,002-013,scan_using_bike
412,002-014,riding_not_finished
410,002-015,billing_expired_server
,002-016,
,002-017,
,002-018,billing_no_response
,002-019,
,002-020,
,002-021,
,002-022,
,002-023,
403,002-024,exclusive_bike
403,003-001,
409,003-002,
412,003-003,missing_out_of_range
410,003-004,missing_expired
412,003-005,report_out_of_range
,003-006,report_limit_exceed
,,billing_no_response
,,verification_no_response
,,product_refund_fail
409,004-002,
,005-001,reserve_out_of_range
,005-002,already_reserved
,005-003,overbooker_alert
,005-004,reserve_notice
,005-005,cancel_reserve_alert
,005-006,forced_reserve_cancel
,005-007,cancel_reserve_by_server_examination
,005-008,crowd_user_reserve_alert
,,
,100-017,location_permission_old
,100-0000,phone_not_entered
,100-0002,phone_invalid
,100-001,ring_out_of_range
,100-002,missing_confirm
,100-003,missing_succeed
,100-011,card_reregister_required
,100-012,unpaid_riding
,100-013,network_connection_fail
,100-014,camera_permission
,100-015,location_permission
,100-027,ble_permission
,100-016,location_off
,100-020,scan_server_error
,100-021,bike_sn_not_entered
,100-022,bike_sn_invalid_digit
,100-023,scan_broken
,100-024,scan_low_battery
,100-026,license_not_registered
,100-027,
,100-028,
,100-042,abuser_alert
,100-031,ble_off
,100-029,lock_open_fail
,100-030,kickboard_unlock_fail
,100-034,
,100-036,
,100-040,
,190-001,riding_lock_already_opened
,100-032,scan_ble_not_found
,100-033,
,100-035,kickboard_lock_fail
,100-037,kickboard_lock_time_out
,100-038,
,100-039,ble_lock_fail
,100-041,riding_lock_opened
,100-051,
,100-052,
,100-053,request_app_review
,100-055,nfc_not_ready
,100-056,ota_processing_av_bike
,100-057,ota_processing_not_av_bike
,100-054,
,130-011,
,130-012,billing_expired
,110-000,
,110-002-1,
,110-002-2,
,110-002-3,
,110-002-4,
,110-003,license_register_succeed
,110-004,license_verification_processing
,110-005,license_delete_fail
,120-000,card_invalid
,120-012,card_invalid
,120-013,card_delete_confirm
,120-011,
,150-011,bike_sn_not_entered
,150-012,report_not_entered
,150-013,report_registered
,160-011,enroll_terms_not_checked
,160-012,enroll_marketing_reconsider_request
,160-013,marketing_reconsider_request
,170-011,withdrawl_confirm
,170-012,inquiry_registered
,170-013,withdrawl_succeed
,180-011,
,130-012,
,130-013,
,180-000,verification_required
,200-001,app_reinstall
,180-001,reference_code_invalid
,120-014,card_delete_not_available
,130-020,promotion_expired
,100-018,samsung_limit_all_used
,130-021,promotion_refund_confirm
,130-022,promotion_refund_denied
,130-023,promotion_refund_not_remained
,200-002,app_update_notice
,200-003,logout
,200-004,logout_expired
,120-014,invitation_coupon_issued
,120-015,invitation_coupon_issued_v1
,100-054,unlock_fail
,130-024,promotion_in_use
,130-025,product_refund_denied_pending
,130-026,citypass_point_available
,100-058,ring_success
,100-059,ring_in_use
,100-060,ring_out_range
,100-061,ring_location_null
,002-016,enforce_return
,002-017,enforce_return_location_expired
,002-018,inquiry_registered_riding
,100-025,low_battery_leftover
,002-025,no_available_bike
,002-026,auto_out_of_range
,002-027,auto_rescan